Group,Family,Scientific Name,variety,Common Name,Native/Exotic,Fresh/Marine/Brackish,,
Amphibians-Frogs,Bombinatoridae,Bombina orientalis,,Oriental Fire-bellied Toad,Exotic,Freshwater,,
Amphibians-Frogs,Bufonidae,Atelopus zeteki,,Panamanian Golden Frog,Exotic,Freshwater,,
Amphibians-Frogs,Bufonidae,Duttaphrynus melanostictus,,Southeast Asian Toad,Exotic,Freshwater,,
Amphibians-Frogs,Bufonidae,Rhaebo blombergi,,Columbian Giant Toad,Exotic,Freshwater,,
Amphibians-Frogs,Bufonidae,Rhinella marina,,Cane Toad,Native,Freshwater,,
Amphibians-Frogs,Eleutherodactylidae,Eleutherodactylus coqui,,Coqui,Exotic,Freshwater,,
Amphibians-Frogs,Eleutherodactylidae,Eleutherodactylus planirostris,,Greenhouse Frog,Exotic,Freshwater,,
Amphibians-Frogs,Eleutherodactylidae,Eleutherodactylus portoricensis,,Forest Coqui,Exotic,Freshwater,,
Amphibians-Frogs,Hylidae,Litoria caerulea,,Australian Green Treefrog,Exotic,Freshwater,,
Amphibians-Frogs,Hylidae,Osteopilus septentrionalis,,Cuban Treefrog,Exotic,Freshwater,,
Amphibians-Frogs,Hylidae,Pachymedusa dacnicolor,,Mexican Leaf Frog,Exotic,Freshwater,,
Amphibians-Frogs,Hylidae,Pseudacris sierra,,Sierran Chorus Frog,Native,Freshwater,,
Amphibians-Frogs,Hyperoliidae,Afrixalus fornasini,,Fornasini's Spiny Reed Frog,Exotic,Freshwater,,
Amphibians-Frogs,Microhylidae,Kaloula pulchra,,Malaysian Painted Frog,Exotic,Freshwater,,
Amphibians-Frogs,Pipidae,Hymenochirus boettgeri,,Zaire Dwarf Clawed Frog,Exotic,Freshwater,,
Amphibians-Frogs,Pipidae,Xenopus laevis,,African Clawed Frog,Exotic,Freshwater,,
Amphibians-Salamanders,Ambystomatidae,Ambystoma gracile,,Northwestern Salamander,Native,Freshwater,,
Amphibians-Salamanders,Amphiumidae,Amphiuma tridactylum,,Three-toed Amphiuma,Native,Freshwater,,
Amphibians-Salamanders,Salamandridae,Cynops orientalis,,Oriental Fire-bellied Newt,Exotic,Freshwater,,
Amphibians-Salamanders,Salamandridae,Cynops pyrrhogaster,,Japanese Fire-bellied Salamander,Exotic,Freshwater,,
Amphibians-Salamanders,Salamandridae,Notophthalmus viridescens viridescens,,Red-spotted Newt,Native,Freshwater,,
Amphibians-Salamanders,Salamandridae,Pachytriton labiatus,,Paddle-Tail Newt,Exotic,Freshwater,,
Coelenterates-Hydrozoans,Oceanidae,Cordylophora caspia,,freshwater hydroid,Exotic,Freshwater-Marine,,
Coelenterates-Hydrozoans,Olindiidae,Craspedacusta sowerbyi,,freshwater jellyfish,Exotic,Freshwater,,
Crustaceans-Barnacles,Balanidae,Megabalanus coccopoma,,Titan acorn barnacle,Exotic,Brackish-Marine,,
Crustaceans-Cladocerans,Daphnidae,Daphnia lumholtzi,,a waterflea,Exotic,Freshwater,,
Crustaceans-Cladocerans,Sididae,Diaphanosoma brevireme,,a cladoceran,Exotic,Freshwater,,
Crustaceans-Cladocerans,Sididae,Diaphanosoma fluviatile,,a cladoceran,Exotic,Freshwater,,
Crustaceans-Copepods,Argulidae,Argulus japonicus,,Japanese fishlouse,Exotic,Freshwater-Marine,,
